Surrogate,generation,0,mu,100,lambda,25
	3271.0,2357.0,2338.0,0.119716,0.096886,191.0,16.0,193.0,79.0,fitness,(0.0647040949190695),fitnesses,(50.71646984318595,1.7844766278662385,385.71412027788324,)
	908.0,696.0,2971.0,0.031794,0.158719,17.0,96.0,177.0,80.0,fitness,(0.08055416594832109),fitnesses,(70.44997916649729,1.2240950098781207,213.676331695741,)
	250.0,1856.0,479.0,0.176688,0.119122,193.0,120.0,138.0,81.0,fitness,(0.06783863310468467),fitnesses,(69.61554834631114,0.03985682838625606,217.5483525489037,)
	4501.0,767.0,358.0,0.240395,0.090528,11.0,111.0,148.0,82.0,fitness,(0.027635259085572968),fitnesses,(27.775805153638142,0.837705948944366,851.7605557508837,)
	417.0,1764.0,1727.0,0.063687,0.091856,174.0,3.0,170.0,83.0,fitness,(0.11713671488957458),fitnesses,(125.30361150381275,0.3760406921197239,1192.7303535435412,)
	1782.0,2306.0,3622.0,0.201692,0.205086,127.0,124.0,69.0,84.0,fitness,(0.013947697421621741),fitnesses,(15.120035444508954,-0.12199430222930585,-4.760499940584671,)
	2623.0,4038.0,3598.0,0.091161,0.20159,180.0,147.0,0.0,85.0,fitness,(0.009033662559361388),fitnesses,(24.219366641123305,-0.16102853960979752,1357.541868566394,)
	1335.0,640.0,3267.0,0.032728,0.025638,14.0,156.0,102.0,86.0,fitness,(0.15445122610082643),fitnesses,(147.8086309129986,0.9811426037511245,316.8830849683438,)
	1297.0,2783.0,3299.0,0.025326,0.202355,199.0,10.0,14.0,87.0,fitness,(-0.0705985448796018),fitnesses,(34.06384434074405,1.1411893708593441,11607.428292893928,)
	2423.0,104.0,68.0,0.037852,0.09555,114.0,77.0,128.0,88.0,fitness,(0.06551447235501613),fitnesses,(58.458798169509464,0.853106888785396,147.53947023473026,)
	4761.0,3511.0,4478.0,0.062512,0.076006,41.0,54.0,75.0,89.0,fitness,(0.028018396350451117),fitnesses,(19.284836687482294,0.9282733302467794,54.917363949896995,)
	3973.0,3546.0,2692.0,0.170824,0.119645,92.0,109.0,123.0,90.0,fitness,(0.02616236520812119),fitnesses,(22.675061010418478,0.8240532711288234,475.32285135855216,)
	1133.0,242.0,468.0,0.125317,0.087641,123.0,111.0,169.0,91.0,fitness,(0.09422719848161779),fitnesses,(82.87617670866342,1.3568303674769695,221.72819018153382,)
	3610.0,213.0,1797.0,0.134575,0.024417,133.0,77.0,29.0,92.0,fitness,(0.2268363749010304),fitnesses,(239.78171096908108,0.6344438386653498,1928.9774454704163,)
	3245.0,1033.0,468.0,0.234915,0.017267,132.0,23.0,138.0,93.0,fitness,(0.057765404286583624),fitnesses,(54.86779467240156,0.552149988215585,262.38902679737834,)
	1565.0,3185.0,61.0,0.174498,0.147354,82.0,156.0,39.0,94.0,fitness,(0.007295933235468771),fitnesses,(10.196899575582085,-0.03769161229862132,252.40502171271015,)
	1899.0,1469.0,4992.0,0.067669,0.109609,53.0,144.0,93.0,95.0,fitness,(0.023178336075826526),fitnesses,(21.25132028926127,0.8424117260765184,649.7101474199926,)
	3848.0,4470.0,1234.0,0.077555,0.19122,122.0,166.0,131.0,96.0,fitness,(0.0008728739891118017),fitnesses,(8.522826450702148,-0.07183647703290878,693.1587691261258,)
	1952.0,1818.0,1078.0,0.173692,0.064095,17.0,78.0,92.0,97.0,fitness,(-0.008582959021550778),fitnesses,(-6.73687712875707,-0.07063952715725076,113.96866212212005,)
